filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode
channel-180.pod5	eb1bf7cc-cd7c-4e89-875c-86e82418d161	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59580.1	1.141	59581.2	0	424	16	unclassified
channel-180.pod5	8e4e03e6-b338-4192-807b-3fd29f9e1762	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59483.2	2.7076	59485.9	0	1176	18	unclassified
channel-180.pod5	cba2ad16-a761-43af-982c-105a2d1dc0d7	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59490.5	2.0844	59492.6	0	790	17	unclassified
channel-180.pod5	4df56b89-9834-4d5a-8939-c7c2034e476f	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59234.3	15.1444	59249.5	0	6370	23	unclassified
channel-180.pod5	a9551e06-2be0-4edd-b60a-83047df40204	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59034.5	30.2188	59064.7	0	15329	18	unclassified
channel-180.pod5	a7b8ac38-a008-46bf-8bd1-19a596ee9a88	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59354.5	2.2918	59356.8	0	930	22	unclassified
channel-180.pod5	008aff03-ffcb-4153-af3e-d771d0a5118d	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59635.7	0.7778	59636.5	0	280	29	unclassified
channel-180.pod5	b95022a5-3cf0-40cc-a157-8da082ec146d	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59511.8	1.3876	59513.2	0	490	24	unclassified
channel-180.pod5	fe508fe1-b2f1-4f68-a73c-6b284ed02831	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59616.7	1.3444	59618.1	0	502	21	unclassified
channel-180.pod5	695a1b21-4913-4f73-8703-c6aa29199f22	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59679.3	0.7996	59680.1	0	287	16	unclassified
channel-180.pod5	dac518ea-1b50-4b4a-90be-35cbc5def072	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59509.8	1.8768	59511.7	0	710	18	unclassified
channel-180.pod5	8d440bbf-fd15-4aab-9e2f-e5f5df3f27c6	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59587.9	1.8574	59589.7	0	784	18	unclassified
channel-180.pod5	593f0ce2-75a6-4bf2-9d96-eb663bf2f4dc	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59730.3	0.7956	59731.1	0	238	23	unclassified
channel-180.pod5	1e7feffa-dace-4baf-8d6e-f6ac2a33ae74	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59782.5	1.1342	59783.7	0	397	23	unclassified
channel-180.pod5	47c68019-d9fa-4005-9066-0f1e08656fcb	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59706.6	7.8878	59714.5	0	3304	22	unclassified
channel-180.pod5	e4b56359-777b-4989-8c0f-f5623d440918	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59574.7	3.5942	59578.3	0	1366	19	unclassified
channel-180.pod5	8f6b56d9-b16f-4386-aabd-b08de8022bce	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59464.7	3.9654	59468.7	0	1684	25	unclassified
channel-180.pod5	9a808a7b-1cd9-4191-a82e-55ea455fc5d0	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59690.2	0.7332	59691	0	253	15	unclassified
channel-180.pod5	0b298bd9-d130-4bc5-b4ac-aa531f7110de	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59583.9	0.715	59584.6	0	224	16	unclassified
channel-180.pod5	c3dbbbbb-25cc-481f-a4db-a3488907da17	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59600.7	2.7232	59603.4	0	1067	24	unclassified
channel-180.pod5	ac637989-bce4-4dbd-bf1e-c8826242df19	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59449.2	4.1756	59453.4	0	1711	22	unclassified
channel-180.pod5	6135ddef-e979-459e-b909-8c7b105b5689	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59633	2.3874	59635.4	0	961	22	unclassified
channel-180.pod5	283598d7-aadd-4874-8d0c-0a00466ec2db	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59800.4	1.357	59801.8	0	529	25	unclassified
channel-180.pod5	4949e618-2829-4866-a02c-29e05d596c0a	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	58822.8	39.4066	58862.2	0	17230	22	unclassified
channel-180.pod5	2404c114-0842-4cab-8cda-490de64e7f08	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59595.8	1.096	59596.9	0	453	25	unclassified
channel-180.pod5	70be658f-f77f-4e51-9349-29d61095d097	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59716.1	0.7864	59716.9	0	255	24	unclassified
channel-180.pod5	212f424b-568b-4962-aebd-5ed1b43239f0	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59646.9	0.8448	59647.7	0	320	13	unclassified
channel-180.pod5	4d1f0e74-549b-4b6a-a169-ecc96830779c	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59680.1	0.74	59680.8	0	315	12	unclassified
channel-180.pod5	753f856e-c5c9-4db5-9cff-27b5840202a0	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59828.4	2.9388	59831.3	0	1279	16	unclassified
channel-180.pod5	61218269-661d-43d9-8ced-6764bae55b35	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59729	0.95	59729.9	0	372	29	unclassified
channel-180.pod5	0ff525e1-15a8-445c-b61d-f07bb37896fe	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59847.4	0.7998	59848.2	0	270	16	unclassified
channel-180.pod5	979a38af-dd26-4300-9132-f0e3ab19d38a	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59797.1	1.1754	59798.2	0	468	22	unclassified
channel-180.pod5	2ac3347c-5da9-401a-9509-287fc095a888	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59866.4	3.4702	59869.8	0	1425	20	unclassified
channel-180.pod5	725f3507-0b54-41f4-aaa0-762acab20736	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59873.3	0.8936	59874.2	0	308	25	unclassified
channel-180.pod5	fa95c181-55ab-493c-a1c2-fdf80158fb52	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59883.7	0.7778	59884.5	0	297	22	unclassified
channel-180.pod5	888aee3c-2d2a-401e-8613-dde21884ae28	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59731.1	4.992	59736.1	0	2091	21	unclassified
channel-180.pod5	5a65e1d5-2815-4e37-a024-8a2d4eca8aa7	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59851.5	5.1444	59856.6	0	1587	7	unclassified
channel-180.pod5	aca729fe-62d1-4321-b3ed-0219803b1b9a	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59996.9	0.704	59997.6	0	282	20	unclassified
channel-180.pod5	1296068f-081d-4873-bbc1-92fdd9616971	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59831.7	0.9294	59832.7	0	401	21	unclassified
channel-180.pod5	4fc1b6f8-1d8d-40e6-ab57-781c7298e561	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59804.4	2.5718	59807	0	1114	21	unclassified
channel-180.pod5	1c31fd17-a6c0-4ddd-b6dd-a7670e027c61	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59962.2	4.318	59966.5	0	1693	21	unclassified
channel-180.pod5	5bda65bd-12f5-4fac-b96b-0b46e179cea3	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59874.7	2.966	59877.7	0	1417	11	unclassified
channel-180.pod5	149f38c8-270a-4641-b57c-3f9f92ed2cf8	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59885.3	1.0828	59886.4	0	350	23	unclassified
